Code;Row;Colom;Type;Replicate;Tea;Start_weight;End_weight
3AxWar;3;A;pelagic;a;rooibos;2.1741;2.053
3AxWbg;3;A;pelagic;b;green;1.9857;1.4411
3AxWbr;3;A;pelagic;b;rooibos;2.2552;1.9664
3AxWcg;3;A;pelagic;c;green;2.0057;1.4894
3AxWcr;3;A;pelagic;c;rooibos;2.2342;1.9369
3AxSag;3;A;littoral;a;green;2.0513;2.1154
3AxSar;3;A;littoral;a;rooibos;2.2654;2.5668
3AxSbg;3;A;littoral;b;green;2.0928;1.9072
3AxSbr;3;A;littoral;b;rooibos;2.2579;2.1863
3AxScg;3;A;littoral;c;green;1.9326;1.678
3AxScr;3;A;littoral;c;rooibos;2.1928;2.0954
3AxIag;3;A;sediment;a;green;1.9985;1.6638
3AxIar;3;A;sediment;a;rooibos;2.243;2.0152
3AxIbg;3;A;sediment;b;green;2.0398;1.6483
3AxIbr;3;A;sediment;b;rooibos;2.2353;2.0713
3AxIcg;3;A;sediment;c;green;2.1376;1.6051
3AxIcr;3;A;sediment;c;rooibos;2.2461;2.0306
3BxWag;3;B;pelagic;a;green;2.1186;1.5146
3BxWar;3;B;pelagic;a;rooibos;2.1827;1.9075
3BxWbg;3;B;pelagic;b;green;2.1681;1.552
3BxWbr;3;B;pelagic;b;rooibos;2.3099;2.0009
3BxWcg;3;B;pelagic;c;green;2.1686;1.5237
3BxWcr;3;B;pelagic;c;rooibos;2.2702;2.002
3BxSag;3;B;littoral;a;green;2.0868;1.5666
3BxSar;3;B;littoral;a;rooibos;2.1926;1.9745
3BxSbg;3;B;littoral;b;green;2.1473;1.5543
3BxSbr;3;B;littoral;b;rooibos;2.2244;1.9934
3BxScg;3;B;littoral;c;green;2.1365;1.5426
3BxScr;3;B;littoral;c;rooibos;2.2009;1.9531
3BxIag;3;B;sediment;a;green;2.184;1.7168
3BxIar;3;B;sediment;a;rooibos;2.2609;1.9911
3BxIbg;3;B;sediment;b;green;2.0828;1.6327
3BxIbr;3;B;sediment;b;rooibos;2.2136;2.0434
3BxIcg;3;B;sediment;c;green;2.1375;1.6585
3BxIcr;3;B;sediment;c;rooibos;2.2567;1.9977
3CxWag;3;C;pelagic;a;green;2.1734;1.5588
3CxWar;3;C;pelagic;a;rooibos;2.243;2.0304
3CxWbg;3;C;pelagic;b;green;2.0455;1.4844
3CxWbr;3;C;pelagic;b;rooibos;2.1977;1.9544
3CxWcg;3;C;pelagic;c;green;2.1693;1.5312
3CxWcr;3;C;pelagic;c;rooibos;2.2556;2.0292
3CxSag;3;C;littoral;a;green;1.9018;1.3657
3CxSar;3;C;littoral;a;rooibos;2.2203;1.9934
3CxSbg;3;C;littoral;b;green;2.0966;1.5098
3CxSbr;3;C;littoral;b;rooibos;2.1645;1.9821
3CxScg;3;C;littoral;c;green;2.0948;1.542
3CxScr;3;C;littoral;c;rooibos;2.2108;2.0185
3CxIag;3;C;sediment;a;green;2.0709;1.7223
3CxIar;3;C;sediment;a;rooibos;2.2786;2.0848
3CxIbg;3;C;sediment;b;green;2.2285;1.6437
3CxIbr;3;C;sediment;b;rooibos;2.2649;2.1313
3CxIcg;3;C;sediment;c;green;2.1619;1.5808
3CxIcr;3;C;sediment;c;rooibos;?;2.0494
3DxWag;3;D;pelagic;a;green;2.0828;1.503
3DxWar;3;D;pelagic;a;rooibos;2.2917;2.0157
3DxWbg;3;D;pelagic;b;green;2.0615;1.5355
3DxWbr;3;D;pelagic;b;rooibos;2.2396;1.9778
3DxWcg;3;D;pelagic;c;green;1.9922;1.469
3DxWcr;3;D;pelagic;c;rooibos;2.1976;1.9192
3DxSag;3;D;littoral;a;green;2.196;1.5292
3DxSar;3;D;littoral;a;rooibos;2.2339;1.9815
3DxSbg;3;D;littoral;b;green;2.0556;1.4592
3DxSbr;3;D;littoral;b;rooibos;2.236;2.0159
3DxScg;3;D;littoral;c;green;2.0766;1.5181
3DxScr;3;D;littoral;c;rooibos;2.2448;2.0096
3DxIag;3;D;sediment;a;green;2.0252;1.5825
3DxIar;3;D;sediment;a;rooibos;2.2064;1.9942
3DxIbg;3;D;sediment;b;green;2.1199;1.6198
3DxIbr;3;D;sediment;b;rooibos;2.2086;1.9763
3DxIcg;3;D;sediment;c;green;2.0531;1.5472
3DxIcr;3;D;sediment;c;rooibos;2.1947;1.98
3ExWag;3;E;pelagic;a;green;2.0368;1.4549
3ExWar;3;E;pelagic;a;rooibos;2.2055;1.9329
3ExWbg;3;E;pelagic;b;green;2.0931;1.5075
3ExWbr;3;E;pelagic;b;rooibos;2.1946;1.9629
3ExWcg;3;E;pelagic;c;green;2.0036;1.4852
3ExWcr;3;E;pelagic;c;rooibos;2.185;1.927
3ExSag;3;E;littoral;a;green;2.0713;1.6506
3ExSar;3;E;littoral;a;rooibos;2.2521;1.9969
3ExSbg;3;E;littoral;b;green;2.0522;1.6554
3ExSbr;3;E;littoral;b;rooibos;2.2194;2.0188
3ExScg;3;E;littoral;c;green;2.002;1.6057
3ExScr;3;E;littoral;c;rooibos;2.2025;1.9602
3ExIag;3;E;sediment;a;green;2.1476;1.8668
3ExIar;3;E;sediment;a;rooibos;2.3189;2.0721
3ExIbg;3;E;sediment;b;green;2.0277;1.7621
3ExIbr;3;E;sediment;b;rooibos;2.2916;2.1007
3ExIcg;3;E;sediment;c;green;2.0663;1.6509
3ExIcr;3;E;sediment;c;rooibos;2.2231;2.1164
4AxWag;4;A;pelagic;a;green;2.0072;1.4402
4AxWar;4;A;pelagic;a;rooibos;2.2425;1.9421
4AxWbg;4;A;pelagic;b;green;2.0764;1.4801
4AxWbr;4;A;pelagic;b;rooibos;2.2354;1.9528
4AxWcg;4;A;pelagic;c;green;1.9853;1.4291
4AxWcr;4;A;pelagic;c;rooibos;2.1869;1.9285
4AxSag;4;A;littoral;a;green;2.0213;1.4462
4AxSar;4;A;littoral;a;rooibos;2.2671;2.0319
