Sample ID;Location;lake;type;Treatment;Year;Replicate;Initial weight green;Initial weight red tea ;FiNAl weight green tea;FiNAl weight red tea;incubation time;;;;;;;;;;;;;;;;;
61;IR Emy 1;Emy;sediment;in sediment;2016;3;2.08;2.18;1.21;1.58;90.00;;;;;;;;;;;;;;;;;
62;IR Emy 1;Emy;littoral;on top of sediment;2016;1;2.18;2.23;1.16;1.66;90.00;;;;;;;;;;;;;;;;;
63;IR Emy 1;Emy;littoral;on top of sediment;2016;2;2.15;2.25;1.51;NA;90.00;;;;;;;;;;;;;;;;;
64;IR Emy 1;Emy;littoral;on top of sediment;2016;3;2.17;2.23;1.34;1.83;90.00;;;;;;;;;;;;;;;;;
65;IR Emy 2;Emy;sediment;in sediment;2016;1;2.12;2.24;0.63;NA;90.00;;;;;;;;;;;;;;;;;
66;IR Emy 2;Emy;sediment;in sediment;2016;2;2.18;2.22;0.50;1.35;90.00;;;;;;;;;;;;;;;;;
67;IR Emy 2;Emy;sediment;in sediment;2016;3;1.93;2.29;0.43;1.83;90.00;;;;;;;;;;;;;;;;;
68;IR Emy 2;Emy;littoral;on top of sediment;2016;1;2.16;2.25;0.30;1.30;90.00;;;;;;;;;;;;;;;;;
69;IR Emy 2;Emy;littoral;on top of sediment;2016;2;2.05;2.22;0.25;1.31;90.00;;;;;;;;;;;;;;;;;
70;IR Emy 2;Emy;littoral;on top of sediment;2016;3;2.12;2.28;0.27;1.49;90.00;;;;;;;;;;;;;;;;;
71;B Ekeren;Ekeren;pelagic;water 3 meter;2016;1;2.20;2.27;0.38;1.47;91.00;;;;;;;;;;;;;;;;;
72;B Ekeren;Ekeren;pelagic;water 3 meter;2016;2;2.10;2.23;0.39;1.51;91.00;;;;;;;;;;;;;;;;;
73;B Ekeren;Ekeren;pelagic;water 3 meter;2016;3;1.99;2.24;0.40;1.49;91.00;;;;;;;;;;;;;;;;;
74;B Ekeren;Ekeren;pelagic;water 6 meter;2016;1;2.17;2.25;0.41;1.28;91.00;;;;;;;;;;;;;;;;;
75;B Ekeren;Ekeren;pelagic;water 6 meter;2016;2;2.33;2.17;0.45;1.25;91.00;;;;;;;;;;;;;;;;;
76;B Ekeren;Ekeren;pelagic;water 6 meter;2016;3;2.10;2.22;0.38;1.43;91.00;;;;;;;;;;;;;;;;;
77;B Ekeren;Ekeren;pelagic;water 9 meter;2016;1;2.22;2.23;0.55;1.62;91.00;;;;;;;;;;;;;;;;;
78;B Ekeren;Ekeren;pelagic;water 9 meter;2016;2;2.07;2.32;0.51;1.72;91.00;;;;;;;;;;;;;;;;;
79;B Ekeren;Ekeren;pelagic;water 9 meter;2016;3;2.15;2.17;0.58;1.62;91.00;;;;;;;;;;;;;;;;;
80;B Ekeren;Ekeren;pelagic;water 12 meter;2016;1;2.27;2.32;0.62;1.75;91.00;;;;;;;;;;;;;;;;;
81;B Ekeren;Ekeren;pelagic;water 12 meter;2016;2;2.23;2.21;0.51;1.71;91.00;;;;;;;;;;;;;;;;;
